user_id,item_list
3678,23154 10834 9555 10594 15691 6734 17156 18392 10908 1583
4629,22835 11975 15559 10847 22012 13567 24629 20333 2858 9924
3010,21854 18528 2333 19114 3599 25489 22646 3983 13030 18545
4477,14291 19480 14895 13797 11730 9339 12734 19089 6239 8704
3271,4956 2656 4237 23215 20226 16551 17952 6123 469 14653
6748,11871 1095 15636 5187 7426 25890 13763 9819 8229 3901
6365,12914 8097 1577 2236 20095 14706 16630 19480 3570 8423
5516,20095 15691 20146 17819 24577 25407 2426 9555 23600 14291
7749,24033 13552 24985 13433 23534 2422 23067 913 4113 14188
3422,25903 23536 13541 22003 23711 5717 18190 2333 11792 9029
1393,11362 1993 11656 14434 9672 9371 10275 5078 22967 13849
2336,10747 24075 17586 13742 9819 23344 7662 25917 17843 20190
7147,25407 23154 10834 15691 7991 10792 17156 18392 9555 9701
2554,16552 991 20807 773 17471 5942 20079 17810 6374 2882
2747,11702 12087 24546 22622 19748 21254 11055 16005 25209 12850
4557,1056 5 424 8316 22669 18715 17668 11009 823 11991
6958,15234 4257 9511 12914 20841 5150 7583 24577 25407 12214
1329,4638 6674 3668 10384 12550 20401 22300 21583 21717 22435
5110,2509 20857 8805 1205 21624 12230 1959 14104 25640 7839
2818,5717 11792 2300 5593 24075 20496 4620 22646 23711 2996
4991,956 2154 25191 6817 7856 5998 14105 16301 19868 11152
5964,25407 6734 9322 23154 2492 21920 1583 10834 1056 10345
1301,8251 9558 829 15143 22845 9591 11730 25713 5294 2454
787,14895 19709 19480 16630 12409 10269 11618 20146 20095 7494
1027,9457 8322 16394 5095 20508 18882 11713 17547 15234 24577
3790,13144 12061 9029 19338 16901 14963 13541 8811 9851 22262
7297,24093 15764 16119 15125 20361 8064 14982 1929 20122 4030
5287,7883 6502 11114 4911 21624 25693 8819 17523 5283 20368
3288,12639 14237 16112 4528 6504 23930 5487 1387 16199 1028
1864,9741 6629 10994 17111 7545 25083 13388 17093 10418 1547
150,17723 23600 20095 19089 19709 23189 22853 20173 23244 11900
2158,15764 12110 2222 8304 5412 17820 4803 10807 4668 14865
1142,2426 18984 15691 2236 16651 22445 11658 7494 6327 1240
4649,8529 11848 139 7564 7012 12839 4553 13407 25539 21040
5728,16040 10269 24596 15796 20950 1810 25675 9703 207 20562
7591,964 2492 8772 9891 10345 7012 23692 23086 4588 12356
2129,5672 8544 13118 2996 1574 6327 3202 17478 14059 1532
4054,25928 13737 18540 1738 25833 19079 21153 6108 3931 25798
311,8709 22548 3037 497 15559 20300 5032 12048 16172 18793
7636,23536 4620 2868 13541 7885 5717 10450 19114 9029 9851
108,25101 14378 16201 18544 22453 25414 22335 13944 15206 11953
2352,22653 10418 24355 19874 17668 9438 24481 22629 14684 8268
6966,16489 10747 18494 21674 7426 5084 11085 19518 20460 2825
7254,7468 2001 24143 484 11924 14814 20636 23426 16969 3153
6449,11278 20353 7412 10801 15903 1942 8430 23179 7632 10932
3541,13374 11278 14279 7870 23530 1942 8430 10618 13863 24711
5357,17681 14625 13880 5235 6861 6828 3853 12685 8699 16642
6630,6551 4206 16162 21062 20902 15438 6088 6617 11775 3706
5021,24075 13118 12638 5203 20841 24455 17218 14384 2618 22871
3378,8544 19709 15830 10979 19114 12968 3169 7601 9664 20108
5200,7607 1385 22876 14573 15809 21255 12235 25453 10269 14084
3635,21715 12236 7836 13390 25779 9609 8894 20565 13615 13831
2478,9555 11533 6327 25596 19875 1840 10594 11380 6708 4366
909,6329 13269 17774 10396 16241 19246 10097 18419 15207 7450
4771,3556 17464 5467 15374 18778 1920 17948 12906 3572 18066
7202,12742 8544 24721 19114 10578 3348 16966 8686 20496 22535
6643,19007 14104 6600 8854 1170 17323 4168 15354 3399 20857
1925,18512 24355 20308 14684 16241 24481 24197 17668 6612 20669
4936,10269 10786 9851 25675 9438 22554 18293 180 15564 5942
2916,16040 2463 25865 22138 6883 16017 25354 20562 3058 20950
2819,14684 19288 6612 20308 12847 6329 6384 17668 11114 1258
5020,15562 1185 20841 22998 6010 12898 12047 19436 19756 8304
4943,7892 5396 7885 23258 14522 9348 9386 22356 8538 5817
7485,10800 8994 8168 3931 21443 12796 2398 21800 848 18728
4937,22359 20130 25903 1378 10212 18768 13009 6926 3778 6088
7826,23154 10792 17156 9322 6734 17249 861 1583 2426 10345
4785,22128 22750 18804 18293 6294 6632 15915 17804 23888 25852
4476,25675 10269 9851 19401 4512 12061 3803 10786 13118 4241
4393,17760 19480 15714 21552 15312 8544 9664 6198 525 12273
5220,9395 20581 7100 23180 3261 5406 1640 2388 6614 13134
6288,2996 24075 24340 6781 23370 21859 17705 2174 23280 18560
568,16641 7965 18060 12227 18859 8896 18499 12670 14272 8529
1504,21062 8560 1863 4940 25736 6639 19524 17760 13736 22645
7546,16688 18245 8875 4392 11956 23370 21893 20592 24735 7107
875,22121 3572 3341 13833 11770 19357 8855 8972 13508 18060
6793,8805 1803 6600 7839 14104 11623 24839 12230 12288 24546
